SR_Report_As_of_Date,ID,Line,Branch,Track_Name,Location_Description,Restriction_Reason,Priority,Restriction_Speed_MPH,Date_Restriction_Reported,Restriction_Distance_Miles,Restriction_Distance_Feet,Restricted_Track_Pct,Total_Track_Miles,ObjectId
2023/01/31 05:00:00+00,381513,Green Line,Green Line B,GL Kenmore-Boston Col. EB,EB BU East to Blandford St,Track,MED,10 mph,2022/02/22 05:00:00+00,0.095,500,0.011,8.5,1
2023/01/31 05:00:00+00,399877,Green Line,Green Line B,GL Kenmore-Boston Col. EB,EB Packard's Corner Station,Track,LOW,6 mph,2022/04/11 04:00:00+00,0.038,200,0.004,8.5,2
2023/01/31 05:00:00+00,511949,Green Line,Green Line B,GL Kenmore-Boston Col. EB,EB South St to Chestnut Hill Ave,Track,LOW,6 mph,2023/01/26 05:00:00+00,0.095,500,0.011,8.5,3
2023/01/31 05:00:00+00,325637,Green Line,Green Line C,GL Kenmore-Cleveland Cir. WB,WB Englewood Ave to Cleveland Cir.,Track,HIRH,10 mph,2021/09/09 04:00:00+00,0.026,137,0.004,6,4
2023/01/31 05:00:00+00,230851,Green Line,Green Line D,GL Kenmore-Riverside WB,WB Kenmore to Fenway,Track,LOW,3 mph,2020/12/24 05:00:00+00,0.019,100,0.001,18.8,5
2023/01/31 05:00:00+00,325606,Green Line,Green Line E,GL Copley-Heath St. EB,EB Museum of Fine Arts to Northeastern,Track,LOW,10 mph,2021/09/09 04:00:00+00,0.095,500,0.019,5.1,6
2023/01/31 05:00:00+00,325612,Green Line,Green Line E,GL Copley-Heath St. WB,WB Northeastern to Museum of Fine Arts,Track,LOW,10 mph,2021/09/09 04:00:00+00,0.095,500,0.019,5.1,7
2023/01/31 05:00:00+00,329396,Green Line,"Green Line, Medford & Trunk",GL Kenmore-College Ave EB,EB Boylston Station,Track,HIGH,10 mph,2021/09/22 04:00:00+00,0.227,1200,0.016,13.9,8
2023/01/31 05:00:00+00,1E,Green Line,"Green Line, Medford & Trunk",GL Kenmore-College Ave EB,EB Arlington to Boylston,Track,LOW,6 mph,2021/09/24 04:00:00+00,0.021,112,0.002,13.9,9
2023/01/31 05:00:00+00,334870,Green Line,"Green Line, Medford & Trunk",GL Kenmore-College Ave EB,EB North Sta. to Science Park,Track,LOW,6 mph,2021/10/05 04:00:00+00,0.051,270,0.004,13.9,10
2023/01/31 05:00:00+00,358277,Green Line,"Green Line, Medford & Trunk",GL Kenmore-College Ave EB,EB Science Park to Lechmere,Construction,LOW,10 mph,2021/12/17 05:00:00+00,0.282,1490,0.02,13.9,11
2023/01/31 05:00:00+00,443512,Green Line,"Green Line, Medford & Trunk",GL Kenmore-College Ave EB,EB North Sta. to Science Park,Track,LOW,5 mph,2022/07/12 04:00:00+00,0.028,150,0.002,13.9,12
2023/01/31 05:00:00+00,329925,Green Line,"Green Line, Medford & Trunk",GL Kenmore-College Ave WB,WB Hynes to Kenmore,Track,LOW,6 mph,2021/09/23 04:00:00+00,0.066,350,0.005,13.9,13
2023/01/31 05:00:00+00,1W,Green Line,"Green Line, Medford & Trunk",GL Kenmore-College Ave WB,WB Boylston to Arlington,Track,HIGH,6 mph,2021/09/24 04:00:00+00,0.021,112,0.002,13.9,14
2023/01/31 05:00:00+00,334875,Green Line,"Green Line, Medford & Trunk",GL Kenmore-College Ave WB,WB Boylston to Arlington,Track,LOW,10 mph,2021/10/05 04:00:00+00,0.04,210,0.003,13.9,15
