Restaurant,Longitude,Address,PlaceID,URL,AverageExposure,Stars,ZIP,Count,White,ofWhite,DWN,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot,Reviews,Amenities,Amenity_Count
61Sliders,-149.87809,"7920 King St, Anchorage, AK 99518",-,/biz/61sliders-anchorage?osq=Restaurants,0.124477856308066,3.6,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0,1,Classy,1
907 Alehouse & Grill,-149.8631319,"8001 Old Seward Hwy, Anchorage, AK 99518, United States",ChIJsX90-NaZyFYRGJ_WD0iQlaA,/biz/907-alehouse-and-grill-anchorage?osq=Restaurants,0.13060141647734,3.4,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1,135,"Takes Reservations
Offers Takeout
No Delivery
Vegan Options
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Outdoor Seating
Casual
Loud
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Private Lot Parking
Waiter Service
Free Wi-Fi
Happy Hour Specials
Full Bar
TV
Covered Outdoor Seating
No Drive-Thru
Dogs Not Allowed
No Heated Outdoor Seating
No Private Dining
Bike Parking
Provides reusable tableware",22
907 Wingman,-149.9079825,"3505 Spenard Rd, Anchorage, AK 99503, United States",ChIJ4-dvWd2XyFYR-dL2s0DiD_0,/biz/907-wingman-anchorage?osq=Restaurants,0.109058451156667,4.1,99508,9,15722,41.3,0,0,3106,8.2,1,5326,14.0,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,1,110,"Offers Delivery
Offers Takeout
No Reservations
Wheelchair accessible
Accepts Credit Cards
Accepts Apple Pay
Accepts Cryptocurrency
Trendy, Casual
Moderate Noise
Good for Groups
Good For Kids
Good for Lunch, Dinner
Private Lot Parking
Waiter Service
TV
Offers Military Discount
Gender-neutral restrooms
No Outdoor Seating
Offers Catering
No Wi-Fi
No Alcohol
No Drive-Thru
Dogs Not Allowed
No Bike Parking",17
AK Alchemist,-149.8828076,"103 E 4th Ave, Anchorage, AK 99501, United States",ChIJt_B88yiWyFYRZQB7I68Jokk,/biz/ak-alchemist-anchorage?osq=Restaurants,0.16482374857803,3.8,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1,178,"Offers Delivery
Offers Takeout
No Reservations
Vegan Options",3
Alaska Crepery,-149.8881686,"319 W 5th Ave, Anchorage, AK 99501, United States",ChIJC6dwVAyXyFYR0ZZMmzzULww,/biz/alaska-crepery-anchorage-2?osq=Restaurants,0.16175441753104,4.5,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,1,164,"Takes Reservations
Offers Delivery
Offers Takeout
Vegan Options
Wheelchair accessible
Accepts Credit Cards
Accepts Apple Pay
Good for Groups
Good For Kids
Street Parking
Waiter Service
Free Wi-Fi
Dogs Allowed
No Outdoor Seating
Offers Catering
Not Good For Working
No Happy Hour
No Alcohol
No TV
No Heated Outdoor Seating
No Covered Outdoor Seating
Bike Parking",16
Alaska International Grocery/ Alaska Halal Grocery,-149.8914531,"401 W International Airport Rd #23, Anchorage, AK 99518, United States",ChIJKaGJTZKXyFYRvqAoJMj80wI,/biz/alaska-international-grocery-alaska-halal-grocery-anchorage?osq=Restaurants,0.119407395191816,5.0,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1,4,"No Delivery
No Takeout
Accepts Credit Cards
TV
Not Good For Groups
Not Good For Kids",4
Alaska's Gourmet Subs,-149.8939197,"601 W 7th Ave, Anchorage, AK 99501, United States",ChIJf43CCCqWyFYRGWbaqsmqMmc,/biz/alaskas-gourmet-subs-anchorage?osq=Restaurants,0.127584380199194,4.0,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,1,85,"Offers Delivery
Offers Takeout
No Reservations
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Accepts Cryptocurrency
Casual
Moderate Noise
Offers Catering
Good For Kids
Good for Lunch
Street Parking
Gender-neutral restrooms
No Outdoor Seating
Not Good For Groups
No Wi-Fi
No Alcohol
No TV
Bike Parking",15
Alaskan Burger & Brew,-149.8970669,"5121 Arctic Blvd H, Anchorage, AK 99503, United States",ChIJs0EHkN6XyFYRlpeSZqATTYc,/biz/alaskan-burger-and-brew-anchorage?osq=Restaurants,0.233805973703875,4.2,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1,43,"Offers Delivery
Offers Takeout
No Reservations
Limited Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Accepts Cryptocurrency
Outdoor Seating
Casual
Offers Catering
Good for Groups
Private Lot Parking
Beer & Wine Only
Dogs Allowed
TV
No Waiter Service
No Drive-Thru
Bike Parking
Provides reusable tableware",16
Altura Bistro,-149.8695497,"4240 Old Seward Hwy, Anchorage, AK 99503, United States",ChIJHW9a_7yXyFYR_QfYVj_6qhQ,/biz/altura-bistro-anchorage-2?osq=Restaurants,0.253264948511401,4.6,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,212,"Takes Reservations
Offers Delivery
Offers Takeout
Keto Options
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Accepts Cryptocurrency
Trendy, Intimate, Romantic, Classy, Upscale
Moderate Noise
Casual Dress
Offers Catering
Good for Groups
Good for Dinner
Private Lot Parking
Waiter Service
Beer & Wine Only
Gender-neutral restrooms
Open to All
No Outdoor Seating
No Wi-Fi
No Happy Hour
Dogs Not Allowed
No TV
Compostable containers available
No Bike Parking",22
Anchorage Cider House -Fat Ptarmigan,-149.8911649,"441 W 5th Ave STE 100, Anchorage, AK 99501, United States",ChIJr6ev4CmWyFYRqFSe3dfozv4,/biz/anchorage-cider-house-fat-ptarmigan-anchorage-3?osq=Restaurants,0.0084379111508214,3.5,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1,434,"Takes Reservations
Offers Delivery
Offers Takeout
Vegan Options
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Accepts Cryptocurrency
Casual, Trendy, Classy
Moderate Noise
Casual Dress
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Garage Parking, Street Parking
Waiter Service
Free Wi-Fi
Happy Hour Specials
Beer & Wine Only
TV
Offers Military Discount
Gender-neutral restrooms
Open to All
No Outdoor Seating
Dogs Not Allowed
Bike Parking",27
Antonios Greek Bakery & Cafe,-149.914436,"3020 Minnesota Dr Suite 19A, Anchorage, AK 99517, United States",ChIJ_____8KXyFYRyKqRMXYN0SM,/biz/antonios-greek-bakery-and-cafe-anchorage?osq=Restaurants,0.0831049366651837,4.2,99517,15,10461,66.2,1,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,1,95,"Offers Delivery
Offers Takeout
No Reservations
Many Vegetarian Options
Accepts Credit Cards
Casual, Classy
Quiet
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Private Lot Parking
Gender-neutral restrooms
No Outdoor Seating
No Waiter Service
No Alcohol
No TV
Bike Parking",13
Applebee's Grill + Bar,-149.8881341,"4331 Credit Union Dr, Anchorage, AK 99503, United States",ChIJB4MSNpWXyFYRclXkdYBBXko,/biz/applebees-grill-bar-anchorage?osq=Restaurants,0.117380430620244,2.2,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0,120,"Takes Reservations
Offers Delivery
Offers Takeout
Many Vegetarian Options",4
Arctic Roadrunner,-149.8688704,"5300 Old Seward Hwy, Anchorage, AK 99518, United States",ChIJBS8xhZmXyFYRmps_Xw7yx8Q,/biz/arctic-roadrunner-anchorage-2?osq=Restaurants,0.14983521792096,3.9,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,204,"Offers Delivery
Offers Takeout
No Reservations
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Outdoor Seating
Casual
Moderate Noise
Good for Groups
Good For Kids
Good for Lunch, Dinner
Private Lot Parking
TV
Gender-neutral restrooms
Offers Catering
No Waiter Service
No Wi-Fi
No Happy Hour
No Alcohol
No Drive-Thru
Bike Parking",16
Arigato Japanese Restaurant,-149.9077685,"3315 Spenard Rd, Anchorage, AK 99503, United States",ChIJvTm3FN2XyFYRKAzKyVuw8UE,/biz/arigato-japanese-restaurant-anchorage?osq=Restaurants,0.113891961625947,4.0,99502,7,15845,62.8,1,1,588,2.3,0,2954,11.7,1,2149,8.5,0,516,2.0,0,1161,25.2,0,5.4,1,94355,1,1,1,36,"Takes Reservations
Offers Takeout
No Delivery
Accepts Credit Cards
Classy
Quiet
Good for Groups
Good For Kids
Good for Lunch, Dinner
Beer & Wine Only
TV
No Outdoor Seating
Offers Catering",11
Asia Garden Chinese Restaurant,-149.8647611,"7828 Old Seward Hwy, Anchorage, AK 99518, United States",ChIJnxQaDNaZyFYRaM9TUCE_bn0,/biz/asia-garden-chinese-restaurant-anchorage?osq=Restaurants,0.0999092527209173,2.9,99518,21,6234,58.1,1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3.0,0,84045,0,1,0,54,"Takes Reservations
Offers Delivery
Offers Takeout
Accepts Credit Cards
Outdoor Seating
Moderate Noise
Good for Groups
Good For Kids
Private Lot Parking
Full Bar
TV
No Wi-Fi",11
